KldB 2010;Langbezeichnungen der Systematikpositionen;
11101;Berufe in der Landwirtschaft (ohne Spezialisierung) - Helfer-/Anlerntätigkeiten;
11102;Berufe in der Landwirtschaft (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten;
11103;Berufe in der Landwirtschaft (ohne Spezialisierung) - komplexe Spezialistentätigkeiten;
11104;Berufe in der Landwirtschaft (ohne Spezialisierung) - hoch komplexe Tätigkeiten;
11113;Berufe in der Landtechnik - komplexe Spezialistentätigkeiten;
11114;Berufe in der Landtechnik - hoch komplexe Tätigkeiten;
11123;Landwirtschaftliche Sachverständige - komplexe Spezialistentätigkeiten;
11124;Landwirtschaftliche Sachverständige - hoch komplexe Tätigkeiten;
11132;Berufe im landwirtschaftlich-technischen Laboratorium - fachlich ausgerichtete Tätigkeiten;
11133;Berufe im landwirtschaftlich-technischen Laboratorium - komplexe Spezialistentätigkeiten;
11182;Berufe in der Landwirtschaft (sonstige spezifische Tätigkeitsangabe) - fachlich ausgerichtete Tätigkeiten;
11183;Berufe in der Landwirtschaft (sonstige spezifische Tätigkeitsangabe) - komplexe Spezialistentätigkeiten;
11184;Berufe in der Landwirtschaft (sonstige spezifische Tätigkeitsangabe) - hoch komplexe Tätigkeiten;
11193;Aufsichtskräfte - Landwirtschaft;
11194;Führungskräfte - Landwirtschaft;
11211;Berufe in der Nutztierhaltung (außer Geflügelhaltung) - Helfer-/Anlerntätigkeiten;
11212;Berufe in der Nutztierhaltung (außer Geflügelhaltung) - fachlich ausgerichtete Tätigkeiten;
11213;Berufe in der Nutztierhaltung (außer Geflügelhaltung) - komplexe Spezialistentätigkeiten;
11214;Berufe in der Nutztierhaltung (außer Geflügelhaltung) - hoch komplexe Tätigkeiten;
11222;Berufe in der Geflügelhaltung - fachlich ausgerichtete Tätigkeiten;
11223;Berufe in der Geflügelhaltung - komplexe Spezialistentätigkeiten;
11232;Berufe in der Imkerei - fachlich ausgerichtete Tätigkeiten;
11233;Berufe in der Imkerei - komplexe Spezialistentätigkeiten;
11282;Berufe in der Tierwirtschaft (sonstige spezifische Tätigkeitsangabe) - fachlich ausgerichtete Tätigkeiten;
11283;Berufe in der Tierwirtschaft (sonstige spezifische Tätigkeitsangabe) - komplexe Spezialistentätigkeiten;
11293;Aufsichtskräfte - Tierwirtschaft;
11294;Führungskräfte - Tierwirtschaft;
11302;Berufe in der Pferdewirtschaft (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten;
11312;Berufe in der Pferdewirtschaft - Pferdezucht - fachlich ausgerichtete Tätigkeiten;
11322;Berufe in der Pferdewirtschaft - Reiten - fachlich ausgerichtete Tätigkeiten;
11333;Hufbeschlagschmiede/-schmiedinnen - komplexe Spezialistentätigkeiten;
11342;Kutscher/innen - fachlich ausgerichtete Tätigkeiten;
11393;Aufsichtskräfte - Pferdewirtschaft;
11394;Führungskräfte - Pferdewirtschaft;
11401;Berufe in der Fischwirtschaft (ohne Spezialisierung) - Helfer-/Anlerntätigkeiten;
11402;Berufe in der Fischwirtschaft (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten;
11412;Berufe in der Fischzucht - fachlich ausgerichtete Tätigkeiten;
11422;Berufe in der Fischerei - fachlich ausgerichtete Tätigkeiten;
11423;Berufe in der Fischerei - komplexe Spezialistentätigkeiten;
11424;Berufe in der Fischerei - hoch komplexe Tätigkeiten;
11493;Aufsichtskräfte - Fischwirtschaft;
11494;Führungskräfte - Fischwirtschaft;
11501;Berufe in der Tierpflege (ohne Spezialisierung) - Helfer-/Anlerntätigkeiten;
11502;Berufe in der Tierpflege (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten;
11512;Berufe in der Nutztierpflege - fachlich ausgerichtete Tätigkeiten;
11522;Berufe in der Haus- und Zootierpflege - fachlich ausgerichtete Tätigkeiten;
11582;Berufe in der Tierpflege (sonstige spezifische Tätigkeitsangabe) - fachlich ausgerichtete Tätigkeiten;
11593;Aufsichtskräfte - Tierpflege;
11594;Führungskräfte - Tierpflege;
11602;Berufe im Weinbau - fachlich ausgerichtete Tätigkeiten;
11603;Berufe im Weinbau - komplexe Spezialistentätigkeiten;
11604;Berufe im Weinbau - hoch komplexe Tätigkeiten;
11693;Aufsichtskräfte - Weinbau;
11694;Führungskräfte - Weinbau;
11711;Berufe in der Forstwirtschaft - Helfer-/Anlerntätigkeiten;
11712;Berufe in der Forstwirtschaft - fachlich ausgerichtete Tätigkeiten;
11713;Berufe in der Forstwirtschaft - komplexe Spezialistentätigkeiten;
11714;Berufe in der Forstwirtschaft - hoch komplexe Tätigkeiten;
11722;Berufe in der Natur- und Landschaftspflege - fachlich ausgerichtete Tätigkeiten;
11723;Berufe in der Natur- und Landschaftspflege - komplexe Spezialistentätigkeiten;
11724;Berufe in der Natur- und Landschaftspflege - hoch komplexe Tätigkeiten;
11732;Berufe in der Jagdwirtschaft und Wildhege - fachlich ausgerichtete Tätigkeiten;
11742;Sammeln und Gewinnen von Pflanzen und anderen Naturprodukten - fachlich ausgerichtete Tätigkeiten;
11793;Aufsichtskräfte - Forst- und Jagdwirtschaft, Landschaftspflege;
11794;Führungskräfte - Forst- und Jagdwirtschaft, Landschaftspflege;
12101;Berufe im Gartenbau (ohne Spezialisierung) - Helfer-/Anlerntätigkeiten;
