Berufsbenennungen;KldB 2010 (5-Steller)
Offizier - Geoinformationsdienst;01104
Offizier - Militärfachlicher Dienst;01104
Offizier - Militärmusikdienst;01104
Offizier - Sanitätsdienst;01104
Offizier - Truppendienst;01104
Feldwebel - Allgemeiner Fachdienst;01203
Feldwebel - Geoinformationsdienst;01203
Feldwebel - Militärmusikdienst;01203
Feldwebel - Sanitätsdienst;01203
Feldwebel - Truppendienst;01203
Fachunteroffizier - Allgemeiner Fachdienst;01302
Fachunteroffizier - Geoinformationsdienst;01302
Fachunteroffizier - Militärmusikdienst;01302
Fachunteroffizier - Sanitätsdienst;01302
Freiwil. Wehrdienstleistende/r - Laufbahngruppe Mannschaften;01402
Soldat/in auf Zeit - Laufbahngruppe Mannschaften;01402
Ackerarbeiter/in;11101
Ackergehilf(e/in);11101
Erntehelfer/in;11101
Feldarbeiter/in;11101
Fütterer/Fütterin (Landarbeiter/in);11101
Helfer/in - Land-, Forst-, Tierwirtschaft, Gartenbau;11101
Helfer/in - Landwirtschaft;11101
Helfer/in - Weinbau;11101
Helfer/in - Weinlese;11101
Hilfsarbeiter/in (Landwirtschaft);11101
Hofarbeiter/in (Landarbeiter/in);11101
Kolonnenarbeiter/in (Landwirtschaft);11101
Landarbeiter/in;11101
Landwirtschaftliche(r) Gehilf(e/in) (Verwaltung);11101
Landwirtschaftliche/r Arbeiter/in;11101
Landwirtschaftshelfer/in;11101
Obstpflücker/in;11101
Saisonarbeiter/in (Landwirtschaft);11101
Spargelstecher/in;11101
Weinbaugehilfe/-gehilfin;11101
Weinleser/in;11101
Wirtschafter/in (Landarbeiter/in);11101
Ackerbauer/-bäuerin;11102
Agrarservice-Fachkraft;11102
Agrotechniker/in/Mechanisator/in;11102
Assistent/in - Landwirtschaft;11102
Bauer/Bäuerin;11102
Facharbeiter/in - Acker- und Pflanzenbau;11102
Facharbeiter/in - Agrotechnik;11102
Fachkraft - Agrarservice;11102
Landwirt/in;11102
Landwirtschaftliche/r Betriebshelfer/in;11102
Landwirtschaftliche/r Facharbeiter/In;11102
Landwirtschaftliche/r Gehilfe/Gehilfin;11102
Landwirtschaftswerker/in (§66 BBiG/§42m HWO);11102
Vorarbeiter/in - Landwirtschaft;11102
Beamt(er/in) - Agrarverwaltung (geh. techn. Dienst);11103
Beamt(er/in) - landwirtschaftl. Verwalt. (geh. techn.Dienst);11103
Berater/in - Landwirtschaft;11103
Landbauberater/in;11103
Landwirt/in (administrativ/beratend tätig);11103
Landwirtschaftliche/r Betriebsberater/in;11103
Landwirtschaftliche/r Fachberater/in;11103
Landwirtschaftsberater/in;11103
Agraringenieur/in;11104
Agrarökonom/in;11104
Agrarwirtschaftsingenieur/in;11104
Agrarwissenschaftler/in / Agrarökonom/in;11104
Dipl.-Ing. - Agrarwirtschaft (Landwirtschaft);11104
Dipl.-Ing. - Landbau/Landwirtschaft;11104
Dipl.-Ing. - Landwirtschaft;11104
Dipl.-Ing. (FH) - Agrarwirtschaft;11104
Dipl.-Ing. (Uni) - Agrarwissenschaft;11104
Dipl.-Landwirt/in;11104
Ingenieur/in - Landwirtschaft;11104
Landwirtschaftsingenieur/in;11104
Agrartechniker/in - Landbau;11113
Ingenieur/in (FS) - Landtechnik;11113
Landbautechniker/in;11113
Landtechnikberater/in;11113
Landtechniker/in;11113
Landwirtschaftstechniker/in;11113
Techniker/in - Agrartechnik (Umweltschutztechnik);11113
Techniker/in - Agrartechnik/B. Prof. Technik;11113
Techniker/in - Agrarwirtschaft;11113
